index,open,close,high,low,Return
2017-08-17,4261.48,4327.89,4485.39,4200.74,
2017-08-18,4327.89,4119.42,4371.52,3938.77,-4.81689691743552
2017-08-19,4119.42,4139.98,4184.69,3850.0,0.4990993877778793
2017-08-20,4139.98,4124.44,4211.08,4032.62,-0.3753641321938783
2017-08-21,4130.85,4016.0,4156.2,3911.79,-2.6292054194023806
2017-08-22,4016.0,3977.39,4104.82,3400.0,-0.9614043824701213
2017-08-23,3977.39,4147.88,4265.8,3974.37,4.286479324381065
2017-08-24,4128.5,4335.0,4371.68,4085.01,4.5112201895908255
2017-08-25,4335.0,4302.13,4453.91,4247.48,-0.7582468281430166
2017-08-26,4302.13,4330.0,4352.18,4212.41,0.6478186386743356
2017-08-27,4330.0,4314.7,4400.0,4285.54,-0.3533487297921467
2017-08-28,4314.84,4378.52,4399.82,4124.54,1.479129487565789
2017-08-29,4352.62,4619.6,4625.85,4313.55,5.505970053808129
2017-08-30,4566.02,4552.22,4647.51,4416.01,-1.4585678413715497
2017-08-31,4552.22,4698.99,4745.42,4552.22,3.2241411882553805
2017-09-01,4698.99,4830.32,4885.55,4654.88,2.79485591584574
2017-09-02,4830.3,4458.88,4939.19,4286.87,-7.68975968465857
2017-09-03,4429.23,4574.66,4714.76,4298.33,2.596616190612888
2017-09-04,4541.16,4144.78,4549.99,3972.51,-9.396982507989671
2017-09-05,4149.82,4450.52,4484.99,3603.0,7.3765073176381035
2017-09-06,4467.77,4619.64,4638.09,4335.26,3.8000053926282806
2017-09-07,4619.64,4690.77,4788.59,4438.19,1.5397303686001562
2017-09-08,4691.21,4329.51,4737.21,4028.93,-7.701507428417942
2017-09-09,4330.0,4273.79,4426.62,4150.06,-1.2869816676714052
2017-09-10,4286.12,4186.88,4298.36,3801.0,-2.0335580363096906
2017-09-11,4186.9,4212.61,4334.43,4098.91,0.6145387496178545
2017-09-12,4217.82,4130.79,4394.59,4040.8,-1.9422638221909816
2017-09-13,4140.9,3935.02,4179.5,3760.0,-4.7392871581464995
2017-09-14,3935.2,3241.13,3993.0,3231.0,-17.633709612657622
2017-09-15,3241.13,3658.06,3856.0,2817.0,12.863723454474197
2017-09-16,3680.0,3680.16,3950.0,3470.66,0.6041453666697727
2017-09-17,3680.2,3725.0,3748.21,3499.02,1.2184252858571387
2017-09-18,3725.0,4022.7,4123.2,3684.73,7.991946308724818
2017-09-19,4030.63,3915.89,4089.97,3830.91,-2.6551818430407437
2017-09-20,3915.89,3921.06,4046.08,3820.0,0.13202618051069148
2017-09-21,3929.69,3598.2,3929.69,3567.0,-8.233997949534055
2017-09-22,3598.2,3611.04,3750.0,3505.55,0.35684508921127733
2017-09-23,3627.86,3763.11,3817.19,3542.91,4.2112521600425445
2017-09-24,3763.11,3677.59,3790.0,3622.76,-2.2725883644113543
2017-09-25,3670.14,3921.0,3979.87,3653.69,6.618736727041341
2017-09-26,3920.16,3890.0,3976.99,3850.05,-0.7906146391226776
2017-09-27,3890.0,4210.03,4249.94,3872.81,8.226992287917723
2017-09-28,4220.0,4165.48,4300.0,4101.0,-1.0581872338201959
2017-09-29,4165.48,4125.0,4263.86,3952.01,-0.971796767719435
2017-09-30,4130.0,4322.01,4380.0,4120.06,4.7760000000000025
2017-10-01,4378.99,4392.97,4400.0,4240.04,1.6418286861899833
2017-10-02,4392.9,4408.0,4561.63,4360.0,0.34213755158809533
2017-10-03,4400.0,4288.1,4467.33,4180.8,-2.7200544464609733
2017-10-04,4288.1,4196.01,4373.0,4142.0,-2.147571185373476
2017-10-05,4197.01,4314.05,4355.0,4110.0,2.8131486817238205
2017-10-06,4322.03,4385.0,4417.0,4292.0,1.6446262792503497
2017-10-07,4385.01,4467.02,4479.5,4312.56,1.870467502850648
2017-10-08,4467.02,4620.01,4658.0,4423.0,3.4248783305201203
2017-10-09,4618.53,4809.0,4889.98,4550.0,4.090683786398719
2017-10-10,4809.0,4740.0,4960.0,4680.59,-1.4348097317529618
2017-10-11,4720.77,4821.43,4881.61,4710.0,1.7179324894514902
2017-10-12,4821.43,5360.06,5413.73,4810.16,11.171581875086844
2017-10-13,5360.06,5615.02,5846.17,5360.01,4.756663171680908
2017-10-14,5615.01,5799.99,5800.0,5580.01,3.294200198752617
2017-10-15,5799.98,5722.06,5922.3,5400.01,-1.3436230062465526
2017-10-16,5722.07,5776.83,5788.91,5585.19,0.9571727664512419
2017-10-17,5770.21,5586.06,5788.91,5508.63,-3.3023301706991415
2017-10-18,5589.0,5550.01,5636.53,5037.95,-0.6453564766579656
2017-10-19,5555.01,5687.97,5710.0,5490.26,2.485761286916599
2017-10-20,5667.09,6029.91,6110.0,5600.0,6.011635082463518
2017-10-21,6029.97,5995.42,6171.0,5850.03,-0.5719820030481326
2017-10-22,5995.43,5960.67,6082.35,5720.03,-0.5796091016142313
2017-10-23,5993.0,5899.0,6080.0,5621.03,-1.0346152362066707
2017-10-24,5898.99,5510.02,5925.0,5450.0,-6.593998982878446
2017-10-25,5510.02,5687.98,5689.94,5286.98,3.2297523420967478
2017-10-26,5660.21,5889.0,5939.99,5650.0,3.5341193182817143
2017-10-27,5872.92,5758.61,5980.0,5649.24,-2.2141280353200954
2017-10-28,5758.6,5715.01,5850.02,5630.03,-0.7571271539486002
2017-10-29,5726.5,6154.99,6189.88,5648.01,7.698674193046018
2017-10-30,6154.98,6102.02,6248.68,6030.0,-0.8606025355037072
2017-10-31,6102.03,6411.09,6438.0,6100.0,5.065044034598376
2017-11-01,6411.09,6697.54,6697.55,6338.02,4.46803897621153
2017-11-02,6697.53,7046.03,7300.0,6685.02,5.203253731967261
2017-11-03,7046.03,7110.15,7346.34,6923.0,0.9100159948226105
2017-11-04,7110.15,7404.98,7480.99,6901.0,4.146607314894912
2017-11-05,7380.01,7287.02,7590.25,7279.02,-1.5929820202080114
2017-11-06,7308.9,7031.69,7401.0,6906.0,-3.503901457660341
2017-11-07,7031.68,7067.99,7198.49,6901.0,0.5162343618674958
2017-11-08,7067.48,7251.89,7770.02,6651.0,2.601871253354915
2017-11-09,7185.58,7079.96,7392.0,7015.0,-2.3708302249482616
2017-11-10,7050.08,6579.81,7279.91,6255.01,-7.064305448053377
2017-11-11,6579.89,6200.04,6797.98,6100.0,-5.771747208506028
2017-11-12,6200.04,5670.0,6630.0,5325.01,-8.548977103373524
2017-11-13,5670.01,6500.0,6697.47,5650.64,14.63844797178131
2017-11-14,6500.0,6554.99,6684.98,6311.07,0.8459999999999912
2017-11-15,6554.99,7180.02,7298.0,6525.07,9.535178543369248
2017-11-16,7180.01,7881.98,7940.0,7076.0,9.776574438511298
2017-11-17,7865.03,7747.8,7989.0,7451.0,-1.7023641267803202
2017-11-18,7722.19,7779.93,7819.99,7422.0,0.41469836598777565
2017-11-19,7770.01,7985.51,8123.15,7650.33,2.642440227611309
2017-11-20,7985.53,8310.0,8317.12,7954.0,4.06348498718303
2017-11-21,8310.0,8183.8,8400.0,7801.0,-1.5186522262334523
2017-11-22,8181.41,8244.0,8322.68,8070.03,0.7355995992081921
2017-11-23,8255.97,8110.45,8260.0,8031.01,-1.6199660359049073
2017-11-24,8110.45,8141.11,8369.0,7850.0,0.3780308121004383
2017-11-25,8143.01,8640.06,8687.22,8090.0,6.128771138088052
2017-11-26,8642.03,9108.58,9350.0,8604.72,5.4226475279106845
2017-11-27,9108.56,9622.07,9654.28,9017.81,5.637431959756634
2017-11-28,9623.99,9885.08,9939.0,9570.5,2.733403519201172
2017-11-29,9885.06,9660.0,11300.03,8520.0,-2.2769669036568185
2017-11-30,9660.0,9998.99,10900.0,8850.8,3.5092132505176066
2017-12-01,9999.0,10700.0,10898.0,9380.0,7.010808091617249
2017-12-02,10675.02,10900.01,11190.0,10614.88,1.8692523364485902
2017-12-03,10900.01,11066.0,11825.0,10500.0,1.522842639593902
2017-12-04,11057.32,11505.0,11600.0,10802.0,3.967106452195912
2017-12-05,11504.97,11734.99,11853.0,11447.68,1.9990438939591515
2017-12-06,11730.15,13450.0,13615.23,11662.0,14.614499032380944
2017-12-07,13450.01,16279.0,16279.0,13050.0,21.033457249070644
2017-12-08,16285.0,15655.02,17204.99,14015.0,-3.8330364272989748
2017-12-09,15682.37,14555.0,16269.3,12535.0,-7.026627880385972
2017-12-10,14555.0,15389.0,15720.12,12368.0,5.729989694263149
2017-12-11,15360.56,16700.0,17470.0,14700.0,8.51907206446163
2017-12-12,16700.0,16309.49,16976.45,15875.0,-2.338383233532937
2017-12-13,16309.49,15937.94,16546.0,14666.56,-2.2781215108504282
2017-12-14,15984.43,16260.49,16445.0,15450.0,2.0237872648535493
2017-12-15,16260.49,17528.88,17991.0,16229.32,7.800441438111649
2017-12-16,17515.96,19474.41,19539.0,17190.01,11.09899776825445
2017-12-17,19474.22,18789.0,19798.68,18510.0,-3.519541798698911
2017-12-18,18720.01,18782.06,19300.0,17029.98,-0.03693650540208537
2017-12-19,18782.06,17148.0,18950.0,16300.0,-8.70011063749131
2017-12-20,17147.99,16400.01,17720.35,14777.66,-4.36196641007699
2017-12-21,16400.01,15440.0,17309.5,14022.0,-5.85371594285612
2017-12-22,15439.91,13430.26,15699.34,10961.0,-13.01645077720207
2017-12-23,13430.0,14227.01,14950.0,12840.0,5.932498700695299
2017-12-24,14243.0,13350.0,14274.64,11640.0,-6.164401374568518
2017-12-25,13320.41,13630.4,14300.0,12708.0,2.100374531835203
2017-12-26,13642.69,15543.22,16050.0,13533.0,14.0334839769926
2017-12-27,15580.46,15392.12,16498.05,14200.15,-0.9721280403931609
2017-12-28,15392.12,13950.0,15539.99,13150.0,-9.369209699508584
2017-12-29,13950.1,14518.08,14981.0,13850.0,4.072258064516121
2017-12-30,14518.08,12799.97,14549.99,11750.0,-11.83427836187706
2017-12-31,12799.97,13724.0,14050.11,12149.98,7.2190012945343
2018-01-01,13721.05,13415.0,13818.64,12750.0,-2.2515301661323206
2018-01-02,13426.33,14717.02,15473.49,12890.02,9.705702571748054
2018-01-03,14717.02,14771.02,15307.56,14150.0,0.36692210787239166
2018-01-04,14771.02,14923.19,15280.0,13918.04,1.0301929047553893
2018-01-05,14925.14,17173.97,17176.24,14600.0,15.082432107344346
2018-01-06,17173.97,17080.0,17173.97,16011.21,-0.5471652739582167
2018-01-07,17080.0,16343.99,17143.13,15610.0,-4.309192037470733
2018-01-08,16344.0,14703.0,16400.0,12812.0,-10.040326750077554
2018-01-09,14703.0,14259.98,15500.0,14011.05,-3.013126572808278
2018-01-10,14259.98,14565.0,14735.43,13131.31,2.138993182318627
2018-01-11,14560.0,13079.0,14968.68,11400.0,-10.202540336422928
2018-01-12,13079.0,13705.0,14109.78,12500.0,4.786298646685516
2018-01-13,13719.76,14191.27,14580.0,13636.82,3.5481211236774834
2018-01-14,14209.5,13589.71,14339.5,12569.2,-4.238944083228646
2018-01-15,13589.65,13550.08,14249.99,13147.79,-0.2916177019229971
2018-01-16,13550.08,11070.9,13648.9,9035.0,-18.296423342150014
2018-01-17,11100.0,10810.24,11680.99,9037.94,-2.3544607936120787
2018-01-18,10810.24,10699.91,11878.82,10435.33,-1.0206063880172866
2018-01-19,10654.52,11334.0,11795.0,10360.0,5.926124612263095
2018-01-20,11334.0,12809.01,13099.0,11268.0,13.014028586553739
2018-01-21,12819.94,11271.75,12832.99,10965.0,-12.001395892422606
2018-01-22,11271.8,10565.77,11926.35,9900.24,-6.26326879144764
2018-01-23,10579.96,10880.88,11399.0,9905.0,2.9823666424690254
2018-01-24,10865.52,11190.53,11570.48,10500.0,2.845817617692692
2018-01-25,11190.19,11187.0,11794.05,10950.21,-0.03154452916886985
2018-01-26,11189.47,10967.0,11643.0,10311.15,-1.9665683382497523
2018-01-27,10968.01,11450.0,11650.0,10842.69,4.404121455274912
2018-01-28,11442.0,11861.23,12244.0,11400.0,3.5915283842794743
2018-01-29,11856.0,11233.2,11975.02,11139.55,-5.294813438403933
2018-01-30,11232.99,10267.7,11318.85,9900.0,-8.59505750810099
2018-01-31,10267.7,10198.98,10425.85,9700.0,-0.669283286422484
2018-02-01,10197.99,9341.4,10335.0,8750.99,-8.408487907614292
2018-02-02,9330.02,8930.59,9344.99,8010.02,-4.39773481490997
2018-02-03,8930.59,9056.99,9473.01,8229.0,1.4153600154077184
2018-02-04,9049.66,8330.0,9368.0,7930.0,-8.026838938764424
2018-02-05,8329.91,6850.1,8382.8,6625.0,-17.765906362545014
2018-02-06,6850.1,7672.2,7878.0,6000.01,12.001284652778788
2018-02-07,7665.36,7621.0,8476.0,7150.01,-0.6673444383618721
2018-02-08,7621.01,7784.02,7844.0,7531.11,2.13908935835192
2018-02-09,7789.9,8611.22,8738.0,7789.9,10.626899725334704
2018-02-10,8611.32,8480.01,9065.78,8120.0,-1.523709764702319
2018-02-11,8480.03,8080.27,8549.0,7726.53,-4.71390953548404
2018-02-12,8080.27,8939.89,8989.0,8015.0,10.63850589151103
2018-02-13,8939.88,8485.89,8985.0,8351.0,-5.078362261728053
2018-02-14,8485.89,9448.99,9469.0,8480.0,11.349428286249296
2018-02-15,9450.01,10066.62,10219.5,9301.5,6.5364658021651145
2018-02-16,10072.56,10175.0,10323.37,9666.0,1.0766275075447362
2018-02-17,10177.65,11036.54,11075.07,10050.0,8.467223587223604
2018-02-18,11036.54,10380.0,11274.0,10080.0,-5.948784673457452
2018-02-19,10379.81,11111.45,11250.0,10270.33,7.04672447013488
2018-02-20,11111.47,11270.0,11786.01,11111.41,1.4269064793523745
2018-02-21,11270.0,10453.58,11348.22,10200.0,-7.244188110026617
2018-02-22,10453.0,9901.0,10933.44,9679.0,-5.286035980018333
2018-02-23,9901.0,10146.0,10435.0,9570.19,2.4744975255024837
